keys,pt_BR,en,es
MENU_TITLE,"C A U S O S","C A U S O S","C A U S O S"
MENU_SUBTITLE,"Terror e Exploração na Mata","Terror and Exploration in the Wilderness","Terror y Exploración en la Selva"
BTN_PLAY,"Criar Floresta","Create Forest","Crear Bosque"
BTN_SETTINGS,"Configurações","Settings","Configuración"
BTN_QUIT,"Sair","Quit","Salir"
PANEL_MAP_TITLE,"Configuração do Mapa","Map Configuration","Configuración del Mapa"
LABEL_SEED,"Semente da Floresta (Seed):","Forest Seed:","Semilla del Bosque (Seed):"
INPUT_SEED_PLACEHOLDER,"Digite uma semente...","Enter a seed...","Escribe uma semilla..."
BTN_RANDOM_SEED,"Aleatório","Random","Aleatorio"
LABEL_RELIEF,"Relevo do Terreno:","Terrain Relief:","Relieve del Terreno:"
OPT_RELIEF_GENTLE,"Suave (Colinas Baixas - 3.5m)","Gentle (Low Hills - 3.5m)","Suave (Colinas Bajas - 3.5m)"
OPT_RELIEF_NORMAL,"Normal (Equilibrado - 5.0m)","Normal (Balanced - 5.0m)","Normal (Equilibrado - 5.0m)"
OPT_RELIEF_MOUNTAIN,"Montanhoso (Vales Profundos - 7.5m)","Mountainous (Deep Valleys - 7.5m)","Montañoso (Valles Profundos - 7.5m)"
LABEL_DENSITY,"Densidade das Árvores:","Tree Density:","Densidad de los Árboles:"
OPT_DENSITY_OPEN,"Aberta (Mais Clareiras - 3.8m)","Open (More Clearings - 3.8m)","Abierto (Más Claros - 3.8m)"
OPT_DENSITY_NORMAL,"Normal (Equilibrada - 3.0m)","Normal (Balanced - 3.0m)","Normal (Equilibrado - 3.0m)"
OPT_DENSITY_DENSE,"Densa (Fechada e Sombria - 2.5m)","Dense (Closed & Somber - 2.5m)","Denso (Cerrado y Sombrío - 2.5m)"
BTN_BACK,"Voltar","Back","Volver"
BTN_START_FOREST,"Gerar e Iniciar","Generate and Start","Generar e Iniciar"
PANEL_SETTINGS_TITLE,"Configurações","Settings","Configuración"
LABEL_LANGUAGE,"Idioma / Language:","Language:","Idioma:"
LABEL_RESOLUTION,"Resolução de Tela:","Screen Resolution:","Resolución de Pantalla:"
LABEL_FPS,"Limite de Taxa de Quadros (FPS):","Frame Rate Limit (FPS):","Límite de Cuadros (FPS):"
OPT_FPS_30,"30 FPS (Econômico)","30 FPS (Power Saver)","30 FPS (Económico)"
OPT_FPS_60,"60 FPS (Recomendado)","60 FPS (Recommended)","60 FPS (Recomendado)"
OPT_FPS_120,"120 FPS (Alto Desempenho)","120 FPS (High Performance)","120 FPS (Alto Rendimiento)"
OPT_FPS_144,"144 FPS","144 FPS","144 FPS"
OPT_FPS_UNCAPPED,"Ilimitado (Sem Trava)","Unlimited (Uncapped)","Ilimitado (Sin Límite)"
CHECK_FULLSCREEN,"Tela Cheia (Fullscreen)","Fullscreen","Pantalla Completa"
CHECK_VSYNC,"Sincronização Vertical (V-Sync)","Vertical Sync (V-Sync)","Sincronización Vertical (V-Sync)"
CHECK_FPS_COUNTER,"Exibir Contador de FPS na Tela","Show FPS Counter on Screen","Mostrar Contador de FPS en Pantalla"
BTN_SAVE_BACK,"Salvar e Voltar","Save and Back","Guardar y Volver"
PAUSE_TITLE,"P A U S A","P A U S E","P A U S A"
BTN_RESUME,"Continuar","Resume","Continuar"
BTN_MAIN_MENU,"Menu Principal","Main Menu","Menú Principal"
BTN_QUIT_GAME,"Sair do Jogo","Quit Game","Salir del Juego"
